Affected user,Time,User full name,Event context,Component,Event name,Description,IP address,Origin
-,"11 May, 03:41",R8Tv0hcc,File: Sample Exam Paper,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,ws
-,"11 May, 03:41",R8Tv0hcc,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,ws
-,"9 May, 11:15",R8Tv0hcc,Other,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,ws
-,"9 May, 11:15",R8Tv0hcc,Other,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,ws
-,"9 May, 11:15",R8Tv0hcc,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,ws
-,"1 May, 15:42",R8Tv0hcc,Other,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,ws
-,"1 May, 15:42",R8Tv0hcc,Other,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,ws
-,"1 May, 15:42",R8Tv0hcc,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,ws
-,"10 Apr, 10:11",R8Tv0hcc,Assignment: Group 7 Practical Test,Assignment,The status of the submission has been viewed.,The user with id 'x' has viewed the submission status page for the assignment with course module id 'x'.,10.30.0.20,web
-,"10 Apr, 10:11",R8Tv0hcc,Assignment: Group 7 Practical Test,Assignment,The user has accepted the statement of the submission.,The user with id 'x' has accepted the statement of the submission with id 'x97' for the assignment with course module id 'x'.,10.30.0.20,web
-,"10 Apr, 10:11",R8Tv0hcc,Assignment: Group 7 Practical Test,Assignment,Submission form viewed.,The user with id 'x' viewed their submission for the assignment with course module id 'x'.,10.30.0.20,web
-,"10 Apr, 10:11",R8Tv0hcc,Assignment: Group 7 Practical Test,Assignment,The status of the submission has been viewed.,The user with id 'x' has viewed the submission status page for the assignment with course module id 'x'.,10.30.0.20,web
-,"10 Apr, 09:04",R8Tv0hcc,File: Sample Practical Test,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,web
-,"10 Apr, 09:04",R8Tv0hcc,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,web
-,"10 Apr, 09:02",R8Tv0hcc,Assignment: Group 7 Practical Test,Assignment,The status of the submission has been viewed.,The user with id 'x' has viewed the submission status page for the assignment with course module id 'x'.,10.30.0.20,web
-,"10 Apr, 09:02",R8Tv0hcc,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,web
-,"10 Apr, 09:00",R8Tv0hcc,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,web
-,"10 Apr, 08:59",R8Tv0hcc,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,web
-,"10 Apr, 08:59",R8Tv0hcc,Forum: News forum,Forum,Discussion viewed,The user with id 'x' has viewed the discussion with id 'x2' in the forum with course module id 'x'.,10.30.0.20,web
-,"10 Apr, 08:59",R8Tv0hcc,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,web
-,"10 Apr, 08:59",R8Tv0hcc,Course: myCourseName,User report,Grade user report viewed,The user with id 'x' viewed the user report in the gradebook.,10.30.0.20,web
-,"10 Apr, 08:44",R8Tv0hcc,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,web
-,"10 Apr, 00:39",R8Tv0hcc,File: Sample Practical Test,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,web
-,"10 Apr, 00:37",R8Tv0hcc,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,web
-,"15 Mar, 12:19",R8Tv0hcc,File: Lab 7 Worksheet,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,web
-,"15 Mar, 12:19",R8Tv0hcc,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,web
-,"15 Mar, 12:19",R8Tv0hcc,Assignment: Lab 7 Upload,Assignment,The status of the submission has been viewed.,The user with id 'x' has viewed the submission status page for the assignment with course module id 'x'.,10.30.0.20,web
-,"15 Mar, 12:18",R8Tv0hcc,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,web
-,"7 Mar, 13:52",R8Tv0hcc,Assignment: Lab 6 Upload,Assignment,The status of the submission has been viewed.,The user with id 'x' has viewed the submission status page for the assignment with course module id 'x'.,10.30.0.20,web
-,"7 Mar, 13:52",R8Tv0hcc,Assignment: Lab 6 Upload,Assignment,The user has accepted the statement of the submission.,The user with id 'x' has accepted the statement of the submission with id 'x88' for the assignment with course module id 'x'.,10.30.0.20,web
-,"7 Mar, 13:52",R8Tv0hcc,Assignment: Lab 6 Upload,Assignment,Submission form viewed.,The user with id 'x' viewed their submission for the assignment with course module id 'x'.,10.30.0.20,web
-,"7 Mar, 13:52",R8Tv0hcc,Assignment: Lab 6 Upload,Assignment,The status of the submission has been viewed.,The user with id 'x' has viewed the submission status page for the assignment with course module id 'x'.,10.30.0.20,web
-,"7 Mar, 13:52",R8Tv0hcc,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,web
-,"7 Mar, 13:30",R8Tv0hcc,File: Lab 6 Worksheet,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,web
-,"7 Mar, 13:30",R8Tv0hcc,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,web
-,"6 Mar, 13:09",R8Tv0hcc,File: Lab 6 Worksheet,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,web
-,"6 Mar, 13:09",R8Tv0hcc,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,web
-,"6 Mar, 13:09",R8Tv0hcc,Assignment: Lab 5  Upload,Assignment,The status of the submission has been viewed.,The user with id 'x' has viewed the submission status page for the assignment with course module id 'x'.,10.30.0.20,web
-,"6 Mar, 13:09",R8Tv0hcc,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,web
-,"2 Mar, 21:06",R8Tv0hcc,Assignment: Lab 5  Upload,Assignment,The status of the submission has been viewed.,The user with id 'x' has viewed the submission status page for the assignment with course module id 'x'.,10.30.0.20,ws
-,"2 Mar, 21:06",R8Tv0hcc,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,ws
-,"2 Mar, 20:20",R8Tv0hcc,File: Lab 5 Worksheet,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,ws
-,"2 Mar, 20:20",R8Tv0hcc,File: Lab 5 Worksheet,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,ws
-,"2 Mar, 20:19",R8Tv0hcc,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,ws
-,"2 Mar, 20:19",R8Tv0hcc,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,ws
-,"2 Mar, 20:19",R8Tv0hcc,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,ws
-,"2 Mar, 20:19",R8Tv0hcc,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,ws
-,"24 Feb, 16:29",R8Tv0hcc,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,web
-,"24 Feb, 16:28",R8Tv0hcc,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,ws
-,"24 Feb, 16:28",R8Tv0hcc,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,ws
-,"24 Feb, 16:28",R8Tv0hcc,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,ws
-,"21 Feb, 19:08",R8Tv0hcc,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,ws
-,"21 Feb, 19:08",R8Tv0hcc,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,ws
-,"21 Feb, 19:06",R8Tv0hcc,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,ws
-,"21 Feb, 19:06",R8Tv0hcc,Assignment: Lab 4 Upload,Assignment,The status of the submission has been viewed.,The user with id 'x' has viewed the submission status page for the assignment with course module id 'x'.,10.30.0.20,ws
-,"21 Feb, 19:06",R8Tv0hcc,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,ws
-,"21 Feb, 19:06",R8Tv0hcc,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,ws
-,"21 Feb, 19:06",R8Tv0hcc,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,ws
-,"21 Feb, 19:06",R8Tv0hcc,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,ws
-,"20 Feb, 09:26",R8Tv0hcc,Quiz: Group 7 MCQ,Quiz,Quiz attempt reviewed,The user with id 'x' has had their attempt with id 'x4' reviewed by the user with id 'x0' for the quiz with course module id 'x'.,10.30.0.20,web
-,"20 Feb, 09:26",R8Tv0hcc,Quiz: Group 7 MCQ,Quiz,Quiz attempt summary viewed,The user with id 'x' has viewed the summary for the attempt with id 'x4' belonging to the user with id 'x0' for the quiz with course module id 'x'.,10.30.0.20,web
-,"20 Feb, 09:11",R8Tv0hcc,Quiz: Group 7 MCQ,Quiz,Quiz attempt viewed,The user with id 'x' has viewed the attempt with id 'x4' belonging to the user with id 'x0' for the quiz with course module id 'x'.,10.30.0.20,web
-,"20 Feb, 09:10",R8Tv0hcc,Quiz: Group 7 MCQ,Quiz,Course module viewed,The user with id 'x' viewed the 'quiz' activity with course module id 'x'.,10.30.0.20,web
-,"20 Feb, 09:10",R8Tv0hcc,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,web
-,"20 Feb, 09:09",R8Tv0hcc,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,web
-,"20 Feb, 09:06",R8Tv0hcc,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,web
-,"20 Feb, 09:06",R8Tv0hcc,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,web
-,"20 Feb, 09:04",R8Tv0hcc,File: Lecture 4,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,web
-,"20 Feb, 09:03",R8Tv0hcc,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,web
-,"20 Feb, 09:02",R8Tv0hcc,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,web
-,"20 Feb, 08:56",R8Tv0hcc,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,web
-,"20 Feb, 08:33",R8Tv0hcc,File: Lecture 3,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,ws
-,"20 Feb, 08:33",R8Tv0hcc,File: Lecture 3,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,ws
-,"20 Feb, 08:33",R8Tv0hcc,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,ws
-,"20 Feb, 08:29",R8Tv0hcc,File: Lecture 2,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,ws
-,"20 Feb, 08:29",R8Tv0hcc,File: Lecture 2,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,ws
-,"20 Feb, 08:29",R8Tv0hcc,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,ws
-,"20 Feb, 08:27",R8Tv0hcc,File: Lecture 1,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,ws
-,"20 Feb, 08:27",R8Tv0hcc,File: Lecture 1,File,Course module viewed,The user with id 'x' viewed the 'resource' activity with course module id 'x'.,10.30.0.20,ws
-,"20 Feb, 08:27",R8Tv0hcc,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,ws
-,"19 Feb, 21:56",R8Tv0hcc,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,ws
-,"19 Feb, 21:56",R8Tv0hcc,Forum: FOP2 - Discussion Forum,Forum,Course module viewed,The user with id 'x' viewed the 'forum' activity with course module id 'x'.,10.30.0.20,ws
-,"19 Feb, 21:56",R8Tv0hcc,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,ws
-,"19 Feb, 21:56",R8Tv0hcc,Course: myCourseName,System,Course viewed,The user with id 'x' viewed the course with id 'x'.,10.30.0.20,ws
-,"19 Feb, 21:56",R8Tv0hcc,Forum: News forum,Forum,Discussion viewed,The user with id 'x' has viewed the discussion with id 'x9' in the forum with course module id 'x'.,10.30.0.20,ws
